Time,wx,wy,wz,qx,qy,qz,q0,x,y,z,vx,vy,vz
0.165,0.00165553,0.00111556,0.0969079,6.84259e-05,4.57593e-05,0.00266036,0.999996,6.871e+06,1264.12,0,-1.42947,7615.18,0
0.166,0.00166542,0.00112244,0.0980774,6.92544e-05,4.63159e-05,0.00270882,0.999996,6.871e+06,1271.73,0,-1.43808,7615.18,0
0.167,0.0016753,0.00112933,0.099254,7.00878e-05,4.6876e-05,0.00275786,0.999996,6.871e+06,1279.35,0,-1.44669,7615.18,0
0.168,0.00168519,0.00113622,0.100438,7.09263e-05,4.74395e-05,0.00280748,0.999996,6.871e+06,1286.97,0,-1.4553,7615.18,0
0.169,0.00169508,0.00114312,0.101628,7.17696e-05,4.80064e-05,0.0028577,0.999996,6.871e+06,1294.58,0,-1.46391,7615.18,0
0.17,0.00170496,0.00115001,0.102826,7.2618e-05,4.85767e-05,0.00290851,0.999996,6.871e+06,1302.2,0,-1.47253,7615.18,0
0.171,0.00171484,0.00115692,0.104031,7.34713e-05,4.91505e-05,0.00295993,0.999996,6.871e+06,1309.81,0,-1.48114,7615.18,0
0.172,0.00172472,0.00116382,0.105242,7.43295e-05,4.97277e-05,0.00301194,0.999995,6.871e+06,1317.43,0,-1.48975,7615.18,0
0.173,0.0017346,0.00117073,0.106461,7.51928e-05,5.03083e-05,0.00306456,0.999995,6.871e+06,1325.04,0,-1.49836,7615.18,0
0.174,0.00174447,0.00117765,0.107687,7.60609e-05,5.08923e-05,0.00311779,0.999995,6.871e+06,1332.66,0,-1.50697,7615.18,0
0.175,0.00175434,0.00118457,0.108919,7.69341e-05,5.14797e-05,0.00317164,0.999995,6.871e+06,1340.27,0,-1.51558,7615.18,0
0.176,0.00176421,0.00119149,0.110159,7.78122e-05,5.20706e-05,0.0032261,0.999995,6.871e+06,1347.89,0,-1.52419,7615.18,0
0.177,0.00177408,0.00119842,0.111406,7.86952e-05,5.26649e-05,0.00328118,0.999995,6.871e+06,1355.5,0,-1.5328,7615.18,0
0.178,0.00178394,0.00120535,0.11266,7.95832e-05,5.32626e-05,0.00333688,0.999994,6.871e+06,1363.12,0,-1.54142,7615.18,0
0.179,0.00179381,0.00121229,0.11392,8.04762e-05,5.38638e-05,0.00339321,0.999994,6.871e+06,1370.73,0,-1.55003,7615.18,0
0.18,0.00180367,0.00121923,0.115188,8.13741e-05,5.44684e-05,0.00345017,0.999994,6.871e+06,1378.35,0,-1.55864,7615.18,0
0.181,0.00181353,0.00122618,0.116463,8.22769e-05,5.50764e-05,0.00350776,0.999994,6.871e+06,1385.96,0,-1.56725,7615.18,0
0.182,0.00182338,0.00123313,0.117745,8.31848e-05,5.56879e-05,0.00356599,0.999994,6.871e+06,1393.58,0,-1.57586,7615.18,0
0.183,0.00183324,0.00124008,0.119034,8.40975e-05,5.63028e-05,0.00362486,0.999993,6.871e+06,1401.19,0,-1.58447,7615.18,0
0.184,0.00184309,0.00124704,0.12033,8.50152e-05,5.69212e-05,0.00368438,0.999993,6.871e+06,1408.81,0,-1.59308,7615.18,0
0.185,0.00185294,0.00125401,0.121632,8.59379e-05,5.7543e-05,0.00374454,0.999993,6.871e+06,1416.42,0,-1.60169,7615.18,0
